medicine,disease,description,side_effects,dosage
Diazepam,Anxiety,Benzodiazepine sedative,Drowsiness fatigue,5-10mg daily
Lorazepam,Anxiety,Anti anxiety medication,Drowsiness dizziness,1-2mg daily
Sertraline,Depression,SSRI antidepressant,Nausea insomnia,50mg daily
Fluoxetine,Depression,Antidepressant medication,Insomnia nausea,20mg daily
Citalopram,Depression,SSRI antidepressant,Nausea dry mouth,20mg daily
Escitalopram,Depression,Antidepressant medicine,Nausea fatigue,10mg daily
Acyclovir,Viral Infection,Antiviral medication,Nausea diarrhea,400mg 3 times daily
Valacyclovir,Viral Infection,Antiviral medicine,Headache nausea,500mg twice daily
Oseltamivir,Flu,Antiviral for influenza,Nausea vomiting,75mg twice daily
Ranitidine,Acidity,H2 blocker for acid control,Headache constipation,150mg twice daily
Famotidine,Acidity,H2 blocker,Headache dizziness,20mg daily
Sucralfate,Ulcers,Protects stomach lining,Constipation,1g four times daily
Domperidone,Nausea,Anti nausea medication,Dry mouth headache,10mg before meals
Ondansetron,Nausea,Antiemetic drug,Headache constipation,4-8mg daily
Loperamide,Diarrhea,Anti diarrhea medicine,Constipation dizziness,2mg after loose stool
ORS,Dehydration,Oral rehydration salts,None,As needed
Zinc,Diarrhea Treatment,Mineral supplement,Nausea metallic taste,20mg daily
Vitamin C,Immunity,Antioxidant supplement,Stomach upset,500mg daily
Vitamin D,Vitamin Deficiency,Bone health supplement,Nausea weakness,1000IU daily
Calcium Carbonate,Bone Health,Calcium supplement,Constipation,500mg daily
Iron,Fatigue Treatment,Treats anemia,Constipation nausea,60mg daily
Folic Acid,Anemia,Vitamin B9 supplement,Nausea,5mg daily
Multivitamin,Nutritional Support,Vitamin supplement,Rare stomach upset,1 tablet daily
