"IMAGE	MEDICINE_NAME	GENERIC_NAME	DISEASE	DESCRIPTION",,
"34.png	Aceta	Paracetamol	Fever / Pain	Aceta contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"35.png	Aceta	Paracetamol	Fever / Pain	Aceta contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"36.png	Aceta	Paracetamol	Fever / Pain	Aceta contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"37.png	Aceta	Paracetamol	Fever / Pain	Aceta contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"38.png	Aceta	Paracetamol	Fever / Pain	Aceta contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"39.png	Aceta	Paracetamol	Fever / Pain	Aceta contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"40.png	Ace	Paracetamol	Fever / Pain	Ace contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"41.png	Ace	Paracetamol	Fever / Pain	Ace contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"42.png	Ace	Paracetamol	Fever / Pain	Ace contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"43.png	Ace	Paracetamol	Fever / Pain	Ace contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"44.png	Ace	Paracetamol	Fever / Pain	Ace contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"45.png	Ace	Paracetamol	Fever / Pain	Ace contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"46.png	Ace	Paracetamol	Fever / Pain	Ace contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"47.png	Ace	Paracetamol	Fever / Pain	Ace contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"48.png	Ace	Paracetamol	Fever / Pain	Ace contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"49.png	Ace	Paracetamol	Fever / Pain	Ace contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"50.png	Ace	Paracetamol	Fever / Pain	Ace contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"51.png	Ace	Paracetamol	Fever / Pain	Ace contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"52.png	Ace	Paracetamol	Fever / Pain	Ace contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"53.png	Ace	Paracetamol	Fever / Pain	Ace contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"54.png	Ace	Paracetamol	Fever / Pain	Ace contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"55.png	Ace	Paracetamol	Fever / Pain	Ace contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"56.png	Ace	Paracetamol	Fever / Pain	Ace contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"57.png	Ace	Paracetamol	Fever / Pain	Ace contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"58.png	Ace	Paracetamol	Fever / Pain	Ace contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"59.png	Ace	Paracetamol	Fever / Pain	Ace contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"60.png	Ace	Paracetamol	Fever / Pain	Ace contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"61.png	Ace	Paracetamol	Fever / Pain	Ace contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"62.png	Ace	Paracetamol	Fever / Pain	Ace contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"63.png	Ace	Paracetamol	Fever / Pain	Ace contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"64.png	Ace	Paracetamol	Fever / Pain	Ace contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"65.png	Ace	Paracetamol	Fever / Pain	Ace contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"66.png	Ace	Paracetamol	Fever / Pain	Ace contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"67.png	Ace	Paracetamol	Fever / Pain	Ace contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"68.png	Ace	Paracetamol	Fever / Pain	Ace contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"69.png	Ace	Paracetamol	Fever / Pain	Ace contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"70.png	Ace	Paracetamol	Fever / Pain	Ace contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"71.png	Ace	Paracetamol	Fever / Pain	Ace contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"72.png	Ace	Paracetamol	Fever / Pain	Ace contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"73.png	Ace	Paracetamol	Fever / Pain	Ace contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"74.png	Ace	Paracetamol	Fever / Pain	Ace contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"75.png	Ace	Paracetamol	Fever / Pain	Ace contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"76.png	Ace	Paracetamol	Fever / Pain	Ace contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"77.png	Ace	Paracetamol	Fever / Pain	Ace contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"78.png	Ace	Paracetamol	Fever / Pain	Ace contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"79.png	Ace	Paracetamol	Fever / Pain	Ace contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"80.png	Alatrol	Cetirizine Hydrochloride	allergic conditions	Alatrol contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"81.png	Alatrol	Cetirizine Hydrochloride	allergic conditions	Alatrol contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"82.png	Alatrol	Cetirizine Hydrochloride	allergic conditions	Alatrol contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"83.png	Alatrol	Cetirizine Hydrochloride	allergic conditions	Alatrol contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"84.png	Alatrol	Cetirizine Hydrochloride	allergic conditions	Alatrol contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"85.png	Alatrol	Cetirizine Hydrochloride	allergic conditions	Alatrol contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"86.png	Alatrol	Cetirizine Hydrochloride	allergic conditions	Alatrol contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"87.png	Alatrol	Cetirizine Hydrochloride	allergic conditions	Alatrol contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"88.png	Alatrol	Cetirizine Hydrochloride	allergic conditions	Alatrol contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"89.png	Alatrol	Cetirizine Hydrochloride	allergic conditions	Alatrol contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"90.png	Alatrol	Cetirizine Hydrochloride	allergic conditions	Alatrol contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"91.png	Alatrol	Cetirizine Hydrochloride	allergic conditions	Alatrol contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"92.png	Alatrol	Cetirizine Hydrochloride	allergic conditions	Alatrol contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"93.png	Alatrol	Cetirizine Hydrochloride	allergic conditions	Alatrol contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"94.png	Alatrol	Cetirizine Hydrochloride	allergic conditions	Alatrol contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"95.png	Alatrol	Cetirizine Hydrochloride	allergic conditions	Alatrol contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"96.png	Alatrol	Cetirizine Hydrochloride	allergic conditions	Alatrol contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"97.png	Alatrol	Cetirizine Hydrochloride	allergic conditions	Alatrol contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"98.png	Alatrol	Cetirizine Hydrochloride	allergic conditions	Alatrol contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"99.png	Alatrol	Cetirizine Hydrochloride	allergic conditions	Alatrol contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"100.png	Alatrol	Cetirizine Hydrochloride	allergic conditions	Alatrol contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"101.png	Alatrol	Cetirizine Hydrochloride	allergic conditions	Alatrol contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"102.png	Alatrol	Cetirizine Hydrochloride	allergic conditions	Alatrol contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"103.png	Alatrol	Cetirizine Hydrochloride	allergic conditions	Alatrol contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"104.png	Alatrol	Cetirizine Hydrochloride	allergic conditions	Alatrol contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"105.png	Alatrol	Cetirizine Hydrochloride	allergic conditions	Alatrol contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"106.png	Alatrol	Cetirizine Hydrochloride	allergic conditions	Alatrol contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"107.png	Alatrol	Cetirizine Hydrochloride	allergic conditions	Alatrol contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"108.png	Alatrol	Cetirizine Hydrochloride	allergic conditions	Alatrol contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"109.png	Alatrol	Cetirizine Hydrochloride	allergic conditions	Alatrol contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"110.png	Alatrol	Cetirizine Hydrochloride	allergic conditions	Alatrol contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"111.png	Alatrol	Cetirizine Hydrochloride	allergic conditions	Alatrol contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"112.png	Alatrol	Cetirizine Hydrochloride	allergic conditions	Alatrol contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"113.png	Alatrol	Cetirizine Hydrochloride	allergic conditions	Alatrol contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"114.png	Alatrol	Cetirizine Hydrochloride	allergic conditions	Alatrol contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"115.png	Alatrol	Cetirizine Hydrochloride	allergic conditions	Alatrol contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"116.png	Alatrol	Cetirizine Hydrochloride	allergic conditions	Alatrol contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"117.png	Alatrol	Cetirizine Hydrochloride	allergic conditions	Alatrol contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"118.png	Alatrol	Cetirizine Hydrochloride	allergic conditions	Alatrol contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"119.png	Alatrol	Cetirizine Hydrochloride	allergic conditions	Alatrol contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"120.png	Amodis	Metronidazole	allergic conditions	Amodis contains Metronidazole for allergic conditions. It treats anaerobic bacterial and protozoal infections.",,
"121.png	Amodis	Metronidazole	allergic conditions	Amodis contains Metronidazole for allergic conditions. It treats anaerobic bacterial and protozoal infections.",,
"122.png	Amodis	Metronidazole	allergic conditions	Amodis contains Metronidazole for allergic conditions. It treats anaerobic bacterial and protozoal infections.",,
"123.png	Amodis	Metronidazole	allergic conditions	Amodis contains Metronidazole for allergic conditions. It treats anaerobic bacterial and protozoal infections.",,
"124.png	Amodis	Metronidazole	allergic conditions	Amodis contains Metronidazole for allergic conditions. It treats anaerobic bacterial and protozoal infections.",,
"125.png	Amodis	Metronidazole	allergic conditions	Amodis contains Metronidazole for allergic conditions. It treats anaerobic bacterial and protozoal infections.",,
"126.png	Amodis	Metronidazole	allergic conditions	Amodis contains Metronidazole for allergic conditions. It treats anaerobic bacterial and protozoal infections.",,
"127.png	Amodis	Metronidazole	allergic conditions	Amodis contains Metronidazole for allergic conditions. It treats anaerobic bacterial and protozoal infections.",,
"128.png	Amodis	Metronidazole	allergic conditions	Amodis contains Metronidazole for allergic conditions. It treats anaerobic bacterial and protozoal infections.",,
"129.png	Amodis	Metronidazole	allergic conditions	Amodis contains Metronidazole for allergic conditions. It treats anaerobic bacterial and protozoal infections.",,
"130.png	Amodis	Metronidazole	allergic conditions	Amodis contains Metronidazole for allergic conditions. It treats anaerobic bacterial and protozoal infections.",,
"131.png	Amodis	Metronidazole	allergic conditions	Amodis contains Metronidazole for allergic conditions. It treats anaerobic bacterial and protozoal infections.",,
"132.png	Amodis	Metronidazole	allergic conditions	Amodis contains Metronidazole for allergic conditions. It treats anaerobic bacterial and protozoal infections.",,
"133.png	Amodis	Metronidazole	allergic conditions	Amodis contains Metronidazole for allergic conditions. It treats anaerobic bacterial and protozoal infections.",,
"134.png	Amodis	Metronidazole	allergic conditions	Amodis contains Metronidazole for allergic conditions. It treats anaerobic bacterial and protozoal infections.",,
"135.png	Amodis	Metronidazole	allergic conditions	Amodis contains Metronidazole for allergic conditions. It treats anaerobic bacterial and protozoal infections.",,
"136.png	Amodis	Metronidazole	allergic conditions	Amodis contains Metronidazole for allergic conditions. It treats anaerobic bacterial and protozoal infections.",,
"137.png	Amodis	Metronidazole	allergic conditions	Amodis contains Metronidazole for allergic conditions. It treats anaerobic bacterial and protozoal infections.",,
"138.png	Amodis	Metronidazole	allergic conditions	Amodis contains Metronidazole for allergic conditions. It treats anaerobic bacterial and protozoal infections.",,
"139.png	Amodis	Metronidazole	allergic conditions	Amodis contains Metronidazole for allergic conditions. It treats anaerobic bacterial and protozoal infections.",,
"140.png	Amodis	Metronidazole	allergic conditions	Amodis contains Metronidazole for allergic conditions. It treats anaerobic bacterial and protozoal infections.",,
"141.png	Amodis	Metronidazole	allergic conditions	Amodis contains Metronidazole for allergic conditions. It treats anaerobic bacterial and protozoal infections.",,
"142.png	Amodis	Metronidazole	allergic conditions	Amodis contains Metronidazole for allergic conditions. It treats anaerobic bacterial and protozoal infections.",,
"143.png	Amodis	Metronidazole	allergic conditions	Amodis contains Metronidazole for allergic conditions. It treats anaerobic bacterial and protozoal infections.",,
"144.png	Amodis	Metronidazole	allergic conditions	Amodis contains Metronidazole for allergic conditions. It treats anaerobic bacterial and protozoal infections.",,
"145.png	Amodis	Metronidazole	allergic conditions	Amodis contains Metronidazole for allergic conditions. It treats anaerobic bacterial and protozoal infections.",,
"146.png	Amodis	Metronidazole	allergic conditions	Amodis contains Metronidazole for allergic conditions. It treats anaerobic bacterial and protozoal infections.",,
"147.png	Amodis	Metronidazole	allergic conditions	Amodis contains Metronidazole for allergic conditions. It treats anaerobic bacterial and protozoal infections.",,
"148.png	Amodis	Metronidazole	allergic conditions	Amodis contains Metronidazole for allergic conditions. It treats anaerobic bacterial and protozoal infections.",,
"149.png	Amodis	Metronidazole	allergic conditions	Amodis contains Metronidazole for allergic conditions. It treats anaerobic bacterial and protozoal infections.",,
"150.png	Amodis	Metronidazole	allergic conditions	Amodis contains Metronidazole for allergic conditions. It treats anaerobic bacterial and protozoal infections.",,
"151.png	Amodis	Metronidazole	allergic conditions	Amodis contains Metronidazole for allergic conditions. It treats anaerobic bacterial and protozoal infections.",,
"152.png	Amodis	Metronidazole	allergic conditions	Amodis contains Metronidazole for allergic conditions. It treats anaerobic bacterial and protozoal infections.",,
"153.png	Amodis	Metronidazole	allergic conditions	Amodis contains Metronidazole for allergic conditions. It treats anaerobic bacterial and protozoal infections.",,
"154.png	Amodis	Metronidazole	allergic conditions	Amodis contains Metronidazole for allergic conditions. It treats anaerobic bacterial and protozoal infections.",,
"155.png	Amodis	Metronidazole	allergic conditions	Amodis contains Metronidazole for allergic conditions. It treats anaerobic bacterial and protozoal infections.",,
"156.png	Amodis	Metronidazole	allergic conditions	Amodis contains Metronidazole for allergic conditions. It treats anaerobic bacterial and protozoal infections.",,
"157.png	Amodis	Metronidazole	allergic conditions	Amodis contains Metronidazole for allergic conditions. It treats anaerobic bacterial and protozoal infections.",,
"158.png	Amodis	Metronidazole	allergic conditions	Amodis contains Metronidazole for allergic conditions. It treats anaerobic bacterial and protozoal infections.",,
"159.png	Amodis	Metronidazole	allergic conditions	Amodis contains Metronidazole for allergic conditions. It treats anaerobic bacterial and protozoal infections.",,
"160.png	Atrizin	Cetirizine Hydrochloride	allergic conditions	Atrizin contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"161.png	Atrizin	Cetirizine Hydrochloride	allergic conditions	Atrizin contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"162.png	Atrizin	Cetirizine Hydrochloride	allergic conditions	Atrizin contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"163.png	Atrizin	Cetirizine Hydrochloride	allergic conditions	Atrizin contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"164.png	Atrizin	Cetirizine Hydrochloride	allergic conditions	Atrizin contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"165.png	Atrizin	Cetirizine Hydrochloride	allergic conditions	Atrizin contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"166.png	Atrizin	Cetirizine Hydrochloride	allergic conditions	Atrizin contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"167.png	Atrizin	Cetirizine Hydrochloride	allergic conditions	Atrizin contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"168.png	Atrizin	Cetirizine Hydrochloride	allergic conditions	Atrizin contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"169.png	Atrizin	Cetirizine Hydrochloride	allergic conditions	Atrizin contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"170.png	Atrizin	Cetirizine Hydrochloride	allergic conditions	Atrizin contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"171.png	Atrizin	Cetirizine Hydrochloride	allergic conditions	Atrizin contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"172.png	Atrizin	Cetirizine Hydrochloride	allergic conditions	Atrizin contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"173.png	Atrizin	Cetirizine Hydrochloride	allergic conditions	Atrizin contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"174.png	Atrizin	Cetirizine Hydrochloride	allergic conditions	Atrizin contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"175.png	Atrizin	Cetirizine Hydrochloride	allergic conditions	Atrizin contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"176.png	Atrizin	Cetirizine Hydrochloride	allergic conditions	Atrizin contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"177.png	Atrizin	Cetirizine Hydrochloride	allergic conditions	Atrizin contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"178.png	Atrizin	Cetirizine Hydrochloride	allergic conditions	Atrizin contains Cetirizine Hydrochloride for allergic conditions. It blocks histamine H1 receptors to relieve allergy symptoms.",,
